,start,end,x,y,bezit
1537,3482.6252375154,3495.1928567928003,2,2,NEC
1540,3493.0333429191996,3509.8728875067,3,3, TEG
1543,3506.8728875067,3512.4332320011,3,2, TEG
1544,3509.4332320011,3518.5289873935,2,2, TEG
1545,3515.5289873935,3524.9047556674,3,3, TEG
1549,3521.9047556674,3527.0652356638,2,3, TEG
1553,3525.2012315207003,3533.6171765316,2,1,NEC
1558,3531.5529302536997,3535.1369278187,3,3, TEG
1561,3532.1369278187,3535.8573504206,2,3, TEG
1567,3536.28930216,3540.2410702101,2,2,NEC
1572,3549.6245801685,3555.9204788311,3,2, TEG
1574,3552.9204788311,3567.0728660138,2,2, TEG
1576,3564.0728660138,3571.5772964628004,2,3, TEG
1581,3569.7372840046,3573.9051596924,2,2,NEC
1586,3572.0411533552,3584.0689557199,2,3, TEG
1593,3584.0689565199,3587.8490383171,2,3, TEG
1597,3586.401039292,3593.3128202225,2,2,NEC
1604,3603.4329465928004,3610.8247202977,3,3, TEG
1606,3607.8247202977,3618.2088433415997,2,2, TEG
1608,3615.2088433415997,3628.2170940117,1,3, TEG
1611,3625.2170940117,3631.3129487703004,2,4, TEG
1613,3637.3130468887,3662.8080875436,2,1,NEC
1622,3660.393121429,3664.1450413318,2,2, TEG
1625,3661.1450413318,3664.8650330469,2,3, TEG
1632,3664.4329049321996,3668.0089373342,2,2,NEC
1633,3665.0089373342,3674.7446622221996,1,2,NEC
1637,3671.7446622221996,3682.4969001627,3,2,NEC
1642,3680.6168117376,3687.7525522384003,3,2, TEG
1644,3691.4091381154,3699.8009868852,3,2, TEG
1647,3696.8009868852,3704.6969969485,1,2, TEG
1648,3701.6969969485,3706.7688962792,1,3, TEG
1650,3703.7688962792,3710.3126969053,2,3, TEG
1657,3708.38516439,3712.9931525540997,2,1,NEC
1659,3709.9931525540997,3714.4730191147996,2,2,NEC
1660,3711.4730191147996,3718.5768584004,1,2,NEC
1661,3715.5768584004,3719.2969376421,1,3,NEC
1664,3719.2969384421003,3741.1766046537,1,3,NEC
1671,3739.11315385,3746.1050309284997,3,2, TEG
1682,3746.2648678586997,3755.6329801607003,2,3,NEC
1686,3752.6329801607003,3759.7209468768,1,3,NEC
1691,3759.4493566031,3770.2011648004,3,1, TEG
1695,3767.6170094520003,3780.232847919,2,2,NEC
1703,3777.232847919,3783.1526985134,1,1,NEC
1706,3780.1526985134,3794.6485960096998,2,1,NEC
1711,3791.6485960096998,3795.8330838425,3,2,NEC
1715,3793.9050307243,3798.6569929240004,1,3, TEG
1716,3795.6569929240004,3809.9125609526,2,3, TEG
1723,3812.9608819517,3819.4248184475,2,2,NEC
1727,3816.4248184475,3823.1932502561,1,2,NEC
1730,3820.1932502561,3826.1210991465005,2,2,NEC
1732,3823.1210991465005,3834.5527038058003,3,2,NEC
1737,3860.0253467771995,3869.6970768017,3,3,NEC
1742,3874.889309936,3879.8732614728,2,1, TEG
1743,3876.8732614728,3884.2410124947996,1,1, TEG
1744,3881.2410124947996,3887.4969849562,2,2, TEG
